RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
JA170328,2/28/2017 0:00,1500,2851,PUBLIC PEACE VIOLATION: ARSON THREAT, ANTI-ISLAMIC/MUSLIM,North,17,1722,IRVING PARK,1,0,,,UNDETERMINED
JA171016,2/24/2017 0:00,900,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),North,24,2423,ROGERS PARK,1,0,,,UNDETERMINED
JA172065,3/1/2017 0:00,2130,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-ISLAMIC/MUSLIM,North,17,1722,ALBANY PARK,1,0,,,UNDETERMINED
JA177947,3/7/2017 0:00,900,2850,PUBLIC PEACE VIOLATION: BOMB THREAT, ANTI-JEWISH,North,24,2433,EDGEWATER,1,0,,,UNDETERMINED
JA180900,3/2/2017 0:00,2300,2850,PUBLIC PEACE VIOLATION: BOMB THREAT, ANTI-JEWISH,Central,1,113,LOOP,1,0,,,UNDETERMINED
JA197291,3/23/2017 0:00,630,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-JEWISH,Central,18,1812,LINCOLN PARK,1,0,,,UNDETERMINED
JA207495,3/31/2017 0:00,1417,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-JEWISH,Central,2,213,DOUGLAS,1,0,,,UNFOUNDED
JA209647,4/2/2017 0:00,1103,560,ASSAULT: SIMPLE, ANTI-ISLAMIC/MUSLIM,North,24,2424,ROGERS PARK,1,0,,,UNDETERMINED
JA227512,4/16/2017 0:00,1430,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,UNDETERMINED
JA245453,5/8/2017 0:00,1810,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-ARAB,South,4,412,AVALON PARK,1,0,,,UNDETERMINED
JA250206,5/4/2017 0:00,1015,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1232,NEAR WEST SIDE,1,0,,,UNDETERMINED
JA251242,5/4/2017 0:00,2200,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1232,NEAR WEST SIDE,1,0,,,BONA FIDE
JA251374,5/5/2017 0:00,700,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1232,NEAR WEST SIDE,1,0,,,UNDETERMINED
JA269641,5/16/2017 0:00,710,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-ISLAMIC/MUSLIM,Central,1,112,LOOP,1,0,,,BONA FIDE
